tsne_1,tsne_2,temp_zscore
5.83044,-7.7304835,0.48656544
21.001343,-16.84345,0.29938385
-12.511052,16.162481,-1.1044781
36.752674,7.3508887,0.86092865
2.015329,14.30399,-0.54293334
26.258486,-13.527219,-0.54293334
-4.16871,16.922663,0.11220226
-12.145267,14.55947,1.4224734
37.46841,10.967695,0.86092865
-47.623352,-1.2475863,-2.4709039
0.7915299,15.368815,-0.54293334
36.89965,7.9367056,1.2352918
-3.3361814,15.86664,-1.0108874
-28.74666,-9.29185,0.76733786
34.719334,1.1497204,0.11220226
-9.562133,15.979908,1.2352918
4.450741,7.1670656,1.0481102
35.480907,2.670029,1.2352918
-7.570905,17.012403,0.86092865
3.476415,12.090538,-0.54293334
31.967379,-5.614947,-0.07497935
5.0337796,3.9461534,-1.0108874
-37.85877,-10.219782,-2.4709039
-11.204217,15.691139,0.86092865
6.3441267,-9.772432,0.11220226
-52.83431,4.119868,-0.44934255
30.058733,-8.50043,0.86092865
7.8667088,-12.787863,-1.0108874
3.6316936,11.927632,-0.54293334
35.52828,3.1501896,0.29938385
32.107445,-5.82244,0.11220226
-48.05471,-1.8948759,0.29938385
-17.566181,8.186734,0.86092865
-21.396252,0.079133675,1.2352918
-21.501274,0.51325846,1.7968366
-24.04233,-4.829436,-0.35575175
35.08543,0.837178,0.67374706
-34.465794,-10.201342,0.48656544
-6.994832,18.471416,-0.54293334
21.81563,-16.915028,-0.9547329
-43.05755,-6.687728,-1.5724322
37.173637,9.463908,0.11220226
2.6697757,12.693994,-0.54293334
9.8624525,-15.693471,-1.0108874
0.80402416,15.214077,-0.54293334
33.970947,-1.0035852,0.11220226
5.4271073,8.025525,-0.54293334
37.17762,10.801848,1.7968366
4.0309024,8.141037,0.86092865
28.231113,-11.198504,0.29938385
-45.620872,-3.8977892,-0.82370573
38.9545,19.33335,1.7032459
-23.303558,-4.778547,0.86092865
-37.07191,-9.491899,-0.26216096
-51.19204,1.6352482,-0.54293334
-21.054539,-1.3655438,-1.1044781
-22.385702,-2.7273786,0.11220226
7.1289253,-11.399222,1.3288827
-9.785011,17.994202,-1.0108874
33.151993,-3.2639565,0.20579305
24.7345,-14.442798,1.5160643
37.077705,10.026297,1.9840182
-36.665154,-10.316787,-2.4709039
2.8555026,13.37777,-0.54293334
-18.029406,6.6863046,0.48656544
35.376965,2.0014262,0.86092865
-43.992554,-5.725834,0.20579305
7.3305964,-11.504296,0.11220226
-48.798656,-0.49720317,-0.69267863
5.845389,10.986135,1.9840182
-12.168779,15.775641,-0.35575175
-23.33728,-4.1242585,0.11220226
-8.962176,18.01083,-0.82370573
37.104828,10.547222,1.3288827
-12.633107,16.013222,-1.1044781
-44.67898,-5.1067586,-0.973451
6.0649843,6.94441,-0.54293334
1.5975313,14.659897,-0.54293334
35.5156,3.087185,0.76733786
-19.936676,2.0787644,-0.16857015
-25.734333,-7.556906,1.2352918
-20.00611,1.9497021,-0.07497935
-4.715033,16.901863,0.20579305
9.205654,-14.195904,0.11220226
4.251877,9.228776,-0.54293334
38.329323,17.363976,0.86092865
-44.59007,-4.700326,0.20579305
5.6778564,11.182021,1.4224734
38.50947,16.144142,1.4224734
31.454699,-6.9834924,0.86092865
13.22837,-17.571264,-0.16857015
19.131355,-18.002111,-1.0108874
4.5941477,-0.2753829,-0.54293334
38.85341,17.674696,2.9199262
30.059132,-8.497298,1.4224734
34.22103,-1.6799532,1.7968366
-44.090523,-5.2954636,0.67374706
-51.30179,1.7629215,-0.54293334
-48.41283,-1.4243366,0.29938385
6.5195255,-3.264138,-1.0108874
14.438314,-17.708872,0.11220226
-20.934868,0.07887178,0.86092865
-0.60227233,16.688856,-0.54293334
30.91869,-7.545508,1.4224734
37.886375,14.195073,0.11220226
-43.80697,-5.877721,0.29938385
6.2689614,-6.573401,-1.0108874
-1.5694549,14.892509,-1.0108874
38.180927,15.914327,0.86092865
16.300362,-17.726555,1.0481102
5.894537,13.849318,-0.9360147
-17.632,9.018989,-0.16857015
-37.359188,-10.277798,-2.4709039
-48.942173,-0.5562863,-0.26216096
-22.298536,-2.880479,1.0481102
-0.9858622,15.62916,0.86092865
-3.787899,18.138908,-0.54293334
-18.55974,7.4957833,-1.5724322
-26.205988,-7.2433796,-0.58036965
31.156954,-6.9663897,0.018611453
-8.854532,16.675367,0.86092865
-25.694986,-7.4015045,1.0481102
-2.461897,16.272886,0.11220226
6.790754,-10.569572,0.86092865
19.285448,-17.906902,-1.0108874
32.959087,-3.7042558,0.86092865
-1.8009168,17.36945,-0.54293334
6.468637,-3.8431718,-1.0108874
-24.676733,-5.8607917,-0.26216096
-31.004566,-10.010384,0.58015627
7.0338364,-11.037983,0.48656544
34.406128,-1.1821201,0.86092865
33.612408,-2.2744868,0.29938385
-50.614815,1.7106568,-1.3852506
-13.798774,13.934763,-0.82370573
38.171494,13.699094,0.29938385
5.5180564,-3.2036042,1.0481102
10.184834,-14.940516,1.4224734
5.788169,1.5783517,-1.0108874
6.4194903,-9.8764925,0.11220226
-40.37411,-8.251608,-0.07497935
-22.465631,-3.5764897,1.2352918
-15.146016,12.299927,0.86092865
19.264006,-17.520351,-0.07497935
-19.144901,4.794103,0.86092865
-1.6351632,15.818442,0.11220226
0.9701618,15.2077675,-0.54293334
26.854885,-12.7719555,1.2352918
-24.773705,-5.88832,-0.54293334
-19.844538,2.8598056,0.67374706
-43.361557,-5.8446546,-0.26216096
27.8519,-11.232925,0.53336084
3.6025329,12.254298,-0.54293334
20.598192,-17.397324,-1.0108874
31.466507,-5.8579764,-1.2916597
-9.798603,15.874984,1.2352918
-11.60732,14.61906,-0.54293334
