run_id,lr_g,beta,latent_dim,lambda_cons,vae_n_res_blocks,free_bits_tau,recon_loss,kl_loss,cons_loss,elbo
75.0,1e-05,0.5,256.0,10.0,1.0,2.0,4.993217668167879e-06,1.8892795692603253,0.0,1.000004994972295
76.0,1e-05,0.5,256.0,10.0,3.0,0.0,1.4049844546969887e-05,9.272493887103615e-08,0.0,1.4096207016509836e-05
77.0,1e-05,0.5,256.0,10.0,3.0,1.0,1.278257460223282e-05,0.9750573702779215,0.0,0.5000127824651405
78.0,1e-05,0.5,256.0,10.0,3.0,2.0,1.3401208161667454e-05,1.9407433254918036,0.0,1.0000133998799392
79.0,1e-05,0.5,256.0,10.0,5.0,0.0,4.049334591148493e-06,1.7173336729037714e-07,0.0,4.135201274699488e-06
80.0,1e-05,0.5,256.0,10.0,5.0,1.0,4.519684462558048e-06,0.9625813922208737,0.0,0.5000045192001189
81.0,1e-05,0.5,256.0,10.0,5.0,2.0,4.43442187836203e-06,1.9442461199994046,0.0,1.000004435478782
82.0,1e-05,0.01,64.0,10.0,1.0,0.0,9.57810304920692e-06,4.199708268066173e-05,0.0,9.998073865875423e-06
83.0,1e-05,0.01,64.0,10.0,1.0,1.0,5.766733943149904e-06,0.9661939156845598,0.0,0.010005766511908182
84.0,1e-05,0.01,64.0,10.0,1.0,2.0,9.230539112663253e-06,1.9337494709993301,0.0,0.020009230081560976
85.0,1e-05,0.01,64.0,10.0,3.0,0.0,4.57865432956892e-06,5.323140952953873e-06,0.0,4.631885739627906e-06
86.0,1e-05,0.01,64.0,10.0,3.0,1.0,5.30962936690956e-06,0.9657619325503148,0.0,0.010005309412347136
87.0,1e-05,0.01,64.0,10.0,3.0,2.0,5.467693001123171e-06,1.9547901668878385,0.0,0.02000546724312759
88.0,1e-05,0.01,64.0,10.0,5.0,0.0,1.9873134651238447e-05,5.807331031680617e-07,0.0,1.987894199717195e-05
89.0,1e-05,0.01,64.0,10.0,5.0,1.0,1.3316261016313182e-05,0.9729649123609582,0.0,0.010013316039221431
90.0,1e-05,0.01,64.0,10.0,5.0,2.0,1.4809022061091476e-05,1.9542374111389909,0.0,0.020014808582469436
91.0,1e-05,0.01,128.0,10.0,1.0,0.0,3.3478632412513017e-06,7.884262596898322e-06,0.0,3.4267058660958664e-06
92.0,1e-05,0.01,128.0,10.0,1.0,1.0,2.9435253345477326e-06,0.972641584612107,0.0,0.010002943299045136
93.0,1e-05,0.01,128.0,10.0,1.0,2.0,2.952279227670378e-06,1.9320824088555593,0.0,0.02000295185518883
94.0,1e-05,0.01,128.0,10.0,3.0,0.0,3.4390993639767223e-06,2.265248048931009e-06,0.0,3.4617518442786296e-06
95.0,1e-05,0.01,128.0,10.0,3.0,1.0,3.7771536634960858e-06,0.9688757820843963,0.0,0.010003776922392571
96.0,1e-05,0.01,128.0,10.0,3.0,2.0,3.527951644212615e-06,1.9535066856774541,0.0,0.020003527502719883
97.0,1e-05,0.01,128.0,10.0,5.0,0.0,9.538183639069914e-06,3.8616065049997373e-07,0.0,9.54204522697827e-06
98.0,1e-05,0.01,128.0,10.0,5.0,1.0,9.672103002880883e-06,0.9686588969972704,0.0,0.010009671876512962
99.0,1e-05,0.01,128.0,10.0,5.0,2.0,1.0099840709036375e-05,1.9441010793279159,0.0,0.02001009940006032
100.0,1e-05,0.01,256.0,10.0,1.0,0.0,3.376693077779753e-06,1.2059338030048716e-05,0.0,3.497286456025359e-06
101.0,1e-05,0.01,256.0,10.0,1.0,1.0,3.7301993734348884e-06,0.968958422429967,0.0,0.0100037299767566
102.0,1e-05,0.01,256.0,10.0,1.0,2.0,4.934407255235893e-06,1.9057009454419358,0.0,0.02000493395332816
103.0,1e-05,0.01,256.0,10.0,3.0,0.0,9.556038455861676e-06,3.674530144472642e-06,0.0,9.592783757010227e-06
104.0,1e-05,0.01,256.0,10.0,3.0,1.0,1.3483968481790678e-05,0.9696850916150668,0.0,0.010013483747603743
105.0,1e-05,0.01,256.0,10.0,3.0,2.0,1.294980023786129e-05,1.9391799757734842,0.0,0.020012949356642856
106.0,1e-05,0.01,256.0,10.0,5.0,0.0,7.986079002278475e-06,3.0734937583293823e-07,0.0,7.989152490486952e-06
107.0,1e-05,0.01,256.0,10.0,5.0,1.0,4.370947195502726e-06,0.9793758210943481,0.0,0.010004370715952228
108.0,1e-05,0.01,256.0,10.0,5.0,2.0,4.385253726046379e-06,1.9519156736324432,0.0,0.020004384784344638
